time/s	Ewe/V	
4.241776095312991E+003	8.7761454E-002
4.251776095191919E+003	9.0453625E-002
4.261776095070847E+003	8.9308023E-002
4.271776094949775E+003	8.8506095E-002
4.281776094828703E+003	8.8525191E-002
4.291776094707631E+003	8.8200599E-002
4.301776094586559E+003	8.6062133E-002
4.311776094465487E+003	8.8544287E-002
4.321776094344415E+003	8.8830687E-002
4.331776094223344E+003	8.4401004E-002
4.341776094102272E+003	8.6367629E-002
4.351776093981200E+003	8.7207742E-002
4.361776093860128E+003	8.9842640E-002
4.371776093739056E+003	8.9212552E-002
4.381776093617984E+003	8.5852109E-002
